internal_code,type,watt,lumen,cct,cri,ip,mounting,diameter_mm,height_mm,length_mm,width_mm,price,price_unit,addons,source_quote,line_id,resolved_from,uncertain,raw_annotation
MFL,Back of House - Triproof,40,4800,5000,90,65,surface,,71,1190,65,90,PC,,2026-06-29_alam-al-idaa_residential,A-01,,,MFL 40W 90D
YT-24,Indoor - Ceiling Light,24,2400,3000,90,20,surface,400,25,,,65,PC,,2026-06-29_alam-al-idaa_residential,A-02,,,YT-24 65D
MPL,Indoor - Panel Light,40,4800,4000,80,44,recessed,,30,595,595,60,PC,,2026-06-29_alam-al-idaa_residential,A-03,,,MPL 60D
WP203-10W,"Indoor - Downlight (fixed, with trim)",10,1200,3000,90,65,recessed,83,52,,,35,PC,,2026-06-29_alam-al-idaa_residential,A-04,,,WP203-10W 35D
WR2602,Indoor - Recessed wall light,6,120,3000,80,65,recessed-wall,,106,106,72,40,PC,,2026-06-29_alam-al-idaa_residential,A-05,,,WR2602 40D
SP-9082C,"Indoor - Downlight (fixed, with trim)",10,900,3000,90,20,recessed,55,112,,,30,PC,,2026-06-29_alam-al-idaa_residential,A-06,,,SP-9082C 30D
FX-08,"Indoor - Downlight (fixed, with trim)",7,840,3000,90,65,recessed,61,47,,,30,PC,,2026-06-29_alam-al-idaa_residential,A-07,,,WP203-10W 35D (struck through) -> FX-08 30D
L-NSCF-1005,"Indoor - Downlight (adjustable, with trim)",20,1400,3000,90,20,recessed,105,100,,,55,PC,,2026-06-29_alam-al-idaa_residential,A-08,,,L-NSCF-1005 55D
WP203-10W,"Indoor - Downlight (fixed, with trim)",10,1200,3000,90,65,recessed,83,52,,,35,PC,,2026-06-29_alam-al-idaa_residential,A-09,TYPE K via A-04,,checkmark only
MFL,Back of House - Triproof,40,4800,5000,90,65,surface,,71,1190,65,90,PC,,2026-06-29_alam-al-idaa_residential,A-10,TYPE P via A-01,,checkmark only
LT,Indoor - Linear Light,16.1,1610,3000,80,20,surface,,42,700,64,130,PC,,2026-06-29_alam-al-idaa_residential,A-11,,,Lt 19 watt same dimensions 130D/PC
LT,Indoor - Linear Light,27.6,2760,3000,80,20,surface,,42,1200,64,230,PC,,2026-06-29_alam-al-idaa_residential,A-12,,yes,Lt 24 watt same dimensions 230D/PC
YT-18,Indoor - Ceiling Light,18,1800,3000,90,20,surface,300,25,,,45,PC,,2026-06-29_alam-al-idaa_residential,A-13,,,YT-18 40D (struck) 45D
SF1203R-L,Outdoor - Wall mounted down Light,15,1275,3000,80,65,wall,120,200,,173,70,PC,,2026-06-29_alam-al-idaa_residential,A-14,,,SF1203R-L 70D
SP-9082C,"Indoor - Downlight (fixed, with trim)",10,900,3000,90,20,recessed,55,112,,,30,PC,,2026-06-29_alam-al-idaa_residential,A-15,,,SP-9082C 30D
WP203-10W,"Indoor - Downlight (fixed, with trim)",7,840,3000,90,65,recessed,61,47,,,35,PC,,2026-06-29_alam-al-idaa_residential,A-16,,,WP203-10W 35D
L-NSCF-1005,"Indoor - Downlight (adjustable, with trim)",20,1400,3000,90,20,recessed,105,100,,,55,PC,,2026-06-29_alam-al-idaa_residential,A-17,,,L-NSCF-1005 55D
TD001DR-7W,"Indoor - Downlight (adjustable, with trim)",7,490,3000,90,20,recessed,65,70,,,25,PC,,2026-06-29_alam-al-idaa_residential,A-18,,,TD001DR-7W 25D
