internal_code,type,watt,lumen,cct,cri,ip,mounting,diameter_mm,height_mm,length_mm,width_mm,price,price_unit,addons,source_quote,line_id,resolved_from,uncertain,raw_annotation
1702136,"Linear LED light surface mounted 1200mm indoor, integrated LED module, HF control driver with Dali",30,4500,4000,,66,surface,,,1200,,220,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-01,,,"1702136 + Dali, 200D struck -> 220D"
9537540,"Recessed LED panel light 600x600 indoor, integrated LED module, HF control driver with Dali",24,3840,4000,,65,recessed,,,600,600,210,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-02,,,9537540 + Dali 210D
Vyrtech,"Explosion proof linear LED 1200mm, ATEX rated indoor, integrated LED module, HF driver with Dali",30,4500,4000,,66,surface,,,1200,,2200,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-03,,,Vyrtech 2200D + Dali
1629045,"LED wall mounted light external, integrated LED module + HF control driver",42,5880,4000,,66,wall,,,,,400,PC,+ phase dimming,2026-06-26_shabeer_industrial-boq,B-04,,,"1629045 + phase dimming, 430D struck -> 400D"
1702136,"Linear LED light surface mounted 1200mm indoor, Dali dimmable",30,4500,4000,,66,surface,,,1200,,220,PC,,2026-06-26_shabeer_industrial-boq,B-05,LINE B-01 via B-01,,checkmark only
9537540,"Recessed LED panel light 600x600 indoor, Dali dimmable",24,4500,4000,,44,recessed,,,600,600,210,PC,,2026-06-26_shabeer_industrial-boq,B-06,LINE B-02 via B-02,,checkmark only
6092712,"Recessed LED downlight indoor, Dali dimmable",12,1680,4000,,54,recessed,,,,,150,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-07,,,"6092712 + Dali, 140D struck -> 150D"
6092710,"Recessed LED downlight indoor, Dali dimmable",9,1260,4000,,54,recessed,,,,,140,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-08,,,6092710 + Dali 140D
1629045,"LED wall mounted light external, integrated LED module + HF control driver",42,5880,4000,,66,wall,,,,,400,PC,,2026-06-26_shabeer_industrial-boq,B-09,LINE B-04 via B-04,,checkmark only
1702136,"Linear LED light surface mounted 1200mm indoor, Dali dimmable",30,4500,4000,,66,surface,,,1200,,220,PC,,2026-06-26_shabeer_industrial-boq,B-10,LINE B-01 via B-01,,checkmark only
1629045,"LED wall mounted light external, integrated LED module + HF control driver",42,5880,4000,,66,wall,,,,,400,PC,,2026-06-26_shabeer_industrial-boq,B-11,LINE B-04 via B-04,,checkmark only
1700120,"LED high-bay luminaire CR2 L35k-840 PC NB LDO WH, Dali dimmable",197,34650,4000,,66,suspended,,,,,650,PC,+ Dali,2026-06-26_shabeer_industrial-boq,B-12,,yes,"17001200 + Dali (digit count off — 1700120 or 1700200), 520D struck -> 650D"
